CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
2,HHO,mmecHost[64],79,0,79,1.1730893933661065E9,2.0E9,6.0064720932055824E10,1.0E11,2326.2997189483735,3000.0,1000000.0,5939.872309777057,8461.284902600997,7529.305,2608.702,6064.571123217771,5,0.0
3,HHO,mmecHost[3],79,0,79,1.5453935287154987E9,2.0E9,8.661998786869832E10,1.0E11,2649.001206853426,3000.0,1000000.0,7430.9162052767715,2871.456819876965,7528.158,2612.267,276.83086780351664,6,0.0
4,HHO,mmecHost[12],79,0,79,1.2678305716019688E9,2.0E9,5.273405440635254E10,1.0E11,1253.2889512366949,3000.0,1000000.0,10514.849229924079,8523.044710540684,7526.947,2616.029,6619.697450802396,3,0.0
5,HHO,mmecHost[4],79,0,79,1.0100528776971788E9,2.0E9,6.889532887586584E10,1.0E11,1660.0212509646515,3000.0,1000000.0,6378.242540055022,5663.075838117391,7530.0,2606.0,3266.8421949246426,3,0.0
6,HHO,mmecHost[10],79,0,79,1.3180960833890715E9,2.0E9,8.37469766732304E10,1.0E11,2228.6037017382664,3000.0,1000000.0,8001.4149140193595,8458.99992057006,7525.736,2619.792,5858.5509786030525,3,0.0
7,HHO,mmecHost[40],79,0,79,1.2871879923456678E9,2.0E9,7.028810541702766E10,1.0E11,1985.0717159331496,3000.0,1000000.0,4833.352724389945,7103.823065789886,7529.584,2607.837,5242.475922248441,3,0.0
8,HHO,mmecHost[29],79,0,79,1.6531395670877082E9,2.0E9,7.059600287491699E10,1.0E11,2299.112430975736,3000.0,1000000.0,5236.296824055737,7167.570804686558,7524.524,2623.555,5087.638277430019,2,0.0
9,HHO,mmecHost[29],79,0,79,1.656588016823535E9,2.0E9,8.740072942007648E10,1.0E11,2382.545444764526,3000.0,1000000.0,5236.296824055737,7167.570804686558,7528.568,2610.993,5100.677252505501,4,0.0
10,HHO,mmecHost[62],80,0,80,1.7147026633985555E9,2.0E9,8.763710134254874E10,1.0E11,2380.768805640894,3000.0,1000000.0,3869.765691509872,8975.392089943494,7523.319,2627.298,7324.394196980027,1,0.0
11,HHO,mmecHost[8],80,0,80,1.0998314215392983E9,2.0E9,7.823351357442125E10,1.0E11,1442.0434039499469,3000.0,1000000.0,9416.783929496012,2259.014188877516,7527.356,2614.756,1922.6258442401875,2,0.0
12,HHO,mmecHost[1],80,0,80,1.1319765058442316E9,2.0E9,8.385382818766052E10,1.0E11,1746.5125624883774,3000.0,1000000.0,9295.507447978067,7188.093910486575,7530.0,2605.0,4911.391487267651,2,0.0
13,HHO,mmecHost[1],80,0,80,1.726462431788762E9,2.0E9,8.288464465223561E10,1.0E11,2300.0474046285694,3000.0,1000000.0,9295.507447978067,7188.093910486575,7522.106,2631.067,4889.933226393743,2,0.0
14,HHO,mmecHost[12],80,0,80,1.0390329079661742E9,2.0E9,3.775161130062572E10,1.0E11,719.523306503349,3000.0,1000000.0,10514.849229924079,8523.044710540684,7526.145,2618.52,6617.836884613553,9,0.0
