CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
2,HHO,mmecHost[5],20,0,20,1.1859945978550792E9,2.0E9,8.46433375988332E10,1.0E11,1391.8991909311023,3000.0,1000000.0,6240.579139362918,8500.636257132912,7529.314,2608.674,6031.256650193228,3,0.0
3,HHO,mmecHost[9],20,0,20,1.049765498751835E9,2.0E9,5.120398701534069E10,1.0E11,1885.9156914058904,3000.0,1000000.0,9302.1,5362.2699999999995,7528.174,2612.215,3272.5549585149824,3,0.0
4,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7526.963,2615.979,7968.595744032319,0,0.0
5,HHO,mmecHost[20],20,0,20,1.0400511365910147E9,2.0E9,8.739616048685239E10,1.0E11,1540.6065622110805,3000.0,1000000.0,4668.295921547615,8567.03294759933,7530.0,2605.0,6613.258432942944,0,0.0
6,HHO,mmecHost[9],20,0,20,1.1685444767618499E9,2.0E9,2.1395016527266342E10,1.0E11,1246.9074158402118,3000.0,1000000.0,9302.1,5362.2699999999995,7525.752,2619.741,3267.549163049425,0,0.0
7,HHO,mmecHost[13],20,0,20,1.3781859242336314E9,2.0E9,8.048799305652097E10,1.0E11,2014.8961798973364,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7529.654,2607.616,7992.780186722446,0,0.0
8,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7524.541,2623.501,7968.781259244227,0,0.0
9,HHO,mmecHost[3],20,0,20,1.767029411526389E9,2.0E9,6.353792034766462E10,1.0E11,2270.100686201599,3000.0,1000000.0,6515.347855697703,7418.983839014224,7528.642,2610.763,4913.832787102952,1,0.0
10,HHO,mmecHost[18],20,0,20,1.4129465950000424E9,2.0E9,7.327986042028789E10,1.0E11,2124.997522341536,3000.0,1000000.0,7959.191027532675,4678.849139000387,7523.327,2627.275,2097.3635589263454,0,0.0
11,HHO,mmecHost[4],20,0,20,1.253692397963694E9,2.0E9,5.425192041956169E10,1.0E11,1752.4019700543467,3000.0,1000000.0,5971.305173777478,5368.592267020873,7527.433,2614.519,3163.297863253326,0,0.0
12,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530.0,2605.0,7967.868284553906,0,0.0
