CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
427,HHO,mmecHost[12],20,0,20,1.611210698901703E9,2.0E9,5.091823811005339E10,1.0E11,2056.0547250287445,3000.0,1000000.0,6378.35545999808,5663.04677388038,7480.046,2744.747,3119.3261477697392,0,0.0
428,HHO,mmecHost[1],20,0,20,1.737788659347269E9,2.0E9,8.573596252722438E10,1.0E11,2508.535462185461,3000.0,1000000.0,2924.108237733241,8129.87407049067,7484.868,2732.714,7066.106879718875,0,0.0
429,HHO,mmecHost[4],20,0,20,1.62631767384817E9,2.0E9,6.2595991165252304E10,1.0E11,1399.8839757694095,3000.0,1000000.0,5971.305173777478,5368.592267020873,7489.845,2720.676,3052.4455377578292,0,0.0
430,HHO,mmecHost[4],20,0,20,1.7318401639544766E9,2.0E9,7.501897497481084E10,1.0E11,2532.6475432687294,3000.0,1000000.0,5971.305173777478,5368.592267020873,7494.95,2708.095,3065.899421752154,0,0.0
431,HHO,mmecHost[5],20,0,20,1.652156867683835E9,2.0E9,8.484064704335744E10,1.0E11,1856.0934701280667,3000.0,1000000.0,6240.579139362918,8500.636257132912,7499.84,2695.469,5940.177168942059,0,0.0
432,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7504.56,2683.352,7969.868176419483,0,0.0
433,HHO,mmecHost[3],20,0,20,1.508104658738171E9,2.0E9,8.775823196888744E10,1.0E11,1804.417478112479,3000.0,1000000.0,6515.347855697703,7418.983839014224,7508.884,2670.732,4851.083342588234,0,0.0
434,HHO,mmecHost[5],20,0,20,1.0894153281848712E9,2.0E9,6.319949887771396E10,1.0E11,2621.1454426160576,3000.0,1000000.0,6240.579139362918,8500.636257132912,7513.174,2657.926,5979.695713673569,0,0.0
435,HHO,mmecHost[15],20,0,20,8.859473116274004E8,2.0E9,5.619490365987448E10,1.0E11,1753.8282532479825,3000.0,1000000.0,8449.754782946495,3955.4011069333774,7517.364,2645.42,1607.9188638255273,0,0.0
436,HHO,mmecHost[2],20,0,20,1.1730585369423468E9,2.0E9,8.374697864299666E10,1.0E11,2629.5506985591032,3000.0,1000000.0,5236.30028550732,7167.692208768915,7521.507,2632.93,5078.015165203937,0,0.0
