CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
2,HHO,mmecHost[5],79,0,79,1.189304782017172E9,2.0E9,8.22375198315037E10,1.0E11,2530.87393451344,3000.0,1000000.0,6198.480798454966,8189.086392786268,7529.305,2608.702,5736.879206212255,5,0.0
3,HHO,mmecHost[20],79,0,79,1.7641400017540743E9,2.0E9,8.188459106006253E10,1.0E11,1904.9296590596805,3000.0,1000000.0,4060.766727670073,8947.610995400819,7528.158,2612.267,7222.145510545392,3,0.0
4,HHO,mmecHost[66],79,0,79,1.6645180460299487E9,2.0E9,6.124250238776801E10,1.0E11,2018.2275867717808,3000.0,1000000.0,2780.4452304991382,8842.31316788711,7526.947,2616.029,7829.16940595594,1,0.0
5,HHO,mmecHost[73],79,0,79,1.1898634301821861E9,2.0E9,7.720360452976625E10,1.0E11,2447.9260189577644,3000.0,1000000.0,4758.468394309046,3610.902757846502,7530.0,2606.0,2948.087005851656,4,0.0
6,HHO,mmecHost[14],79,0,79,1.6669073465541914E9,2.0E9,8.892032804855312E10,1.0E11,2080.3907652496346,3000.0,1000000.0,8497.492282621331,2171.959814891623,7525.736,2619.792,1069.9831488546783,2,0.0
7,HHO,mmecHost[25],79,0,79,1.272757233823522E9,2.0E9,6.016486458902249E10,1.0E11,1788.1482344211674,3000.0,1000000.0,4428.8999080331405,2996.515469023855,7529.584,2607.837,3124.950046074189,2,0.0
8,HHO,mmecHost[17],79,0,79,1.3234137484929366E9,2.0E9,7.260219420672325E10,1.0E11,2004.8343275947557,3000.0,1000000.0,8486.226715382574,4478.736781489938,7524.524,2623.555,2089.634311344068,2,0.0
9,HHO,mmecHost[41],79,0,79,1.7102430700527492E9,2.0E9,5.9946581982231094E10,1.0E11,2496.998619332309,3000.0,1000000.0,6894.0681315982665,4674.381868401733,7528.568,2610.993,2158.741231654689,1,0.0
10,HHO,mmecHost[8],80,0,80,1.735601307880158E9,2.0E9,7.242586244584853E10,1.0E11,2402.258239054864,3000.0,1000000.0,9416.783929496012,2259.014188877516,7523.319,2627.298,1928.9485230991102,2,0.0
11,HHO,mmecHost[44],80,0,80,1.6074356924412198E9,2.0E9,7.133137638553632E10,1.0E11,1601.2206009708011,3000.0,1000000.0,4783.681728131569,3584.6877884921687,7527.356,2614.756,2910.0715084754156,1,0.0
12,HHO,mmecHost[71],80,0,80,1.235228891650668E9,2.0E9,7.083410090892587E10,1.0E11,1799.2312803506231,3000.0,1000000.0,8048.588989571968,2979.2084809275157,7530.0,2605.0,639.5049079587693,3,0.0
13,HHO,mmecHost[27],80,0,80,1.504570987776694E9,2.0E9,7.206194494705952E10,1.0E11,2301.3291220625592,3000.0,1000000.0,7555.975705437155,5039.793546039051,7522.106,2631.067,2408.9646594625697,2,0.0
14,HHO,mmecHost[66],80,0,80,1.787039350849848E9,2.0E9,3.058624054150486E10,1.0E11,1042.2469038559334,3000.0,1000000.0,2780.4452304991382,8842.31316788711,7526.145,2618.52,7826.702223726083,8,0.0
15,HHO,mecHost_null,80,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7529.878,2606.921,7968.381253123183,0,0.0
16,HHO,mmecHost[1],80,0,80,1.7384253920955303E9,2.0E9,5.012053715735995E10,1.0E11,1485.8123654479261,3000.0,1000000.0,9295.507447978067,7188.093910486575,7520.894,2634.834,4886.862869181906,1,0.0
17,HHO,mmecHost[28],80,0,80,1.4850981911698494E9,2.0E9,7.86838872766659E10,1.0E11,2270.851372292956,3000.0,1000000.0,8157.517716801362,7589.016134796142,7524.934,2622.28,5006.858295523445,2,0.0
18,HHO,mmecHost[7],80,0,80,1.5831424428167589E9,2.0E9,6.696904778539968E10,1.0E11,2274.846167258249,3000.0,1000000.0,9397.062908458529,6086.927600432497,7529.028,2609.564,3947.3550674891812,3,0.0
19,HHO,mmecHost[24],80,0,80,1.1540982380010364E9,2.0E9,8.937341877455093E10,1.0E11,2225.393063651868,3000.0,1000000.0,3963.571464208362,7970.582394797544,7519.653,2638.588,6409.046739987987,1,0.0
